ND1;ND2;VA;V1;V2;Vb;V1-Vb;V2-Vb;a1;a2;x1;x2;phi1;phi2
2.00E+16;1.00E+16;-0.9;0.178220086;1.096103283;1.093493294;0.915273208;-0.002609989;0.642995474;0.642995474;2.44E-05;1.22E-06;0.336577282;0.318694085
2.00E+16;1.20E+16;-0.9;0.178220086;1.091399387;1.088812474;0.910592388;-0.002586913;0.667033634;0.667033634;2.43E-05;1.12E-06;0.310262118;0.297082817
2.00E+16;1.40E+16;-0.9;0.178220086;1.0874223;1.08484024;0.906620154;-0.00258206;0.686924586;0.686924586;2.43E-05;1.04E-06;0.288388026;0.279185813
2.00E+16;1.60E+16;-0.9;0.178220086;1.08397719;1.081389983;0.903169897;-0.002587206;0.703767675;0.703767675;2.42E-05;9.67E-07;0.26977899;0.264021886
2.00E+16;1.80E+16;-0.9;0.178220086;1.080938388;1.078340427;0.900120341;-0.002597961;0.718284725;0.718284725;2.42E-05;9.05E-07;0.253664088;0.250945787
2.00E+16;2.00E+16;-0.9;0.178220086;1.078220086;1.075608239;0.897388153;-0.002611847;0.730974248;0.730974248;2.41E-05;8.51E-07;0.239511329;0.239511329
2.00E+16;1.00E+16;-0.6;0.178220086;0.796103283;0.846289153;0.668069066;0.050185869;0.552486307;0.552486307;2.08E-05;8.31E-06;0.336577282;0.318694085
2.00E+16;1.20E+16;-0.6;0.178220086;0.791399387;0.836160924;0.657940838;0.044761537;0.579464533;0.579464533;2.07E-05;7.19E-06;0.310262118;0.297082817
2.00E+16;1.40E+16;-0.6;0.178220086;0.7874223;0.827874059;0.649653972;0.040451759;0.60210991;0.60210991;2.06E-05;6.35E-06;0.288388026;0.279185813
2.00E+16;1.60E+16;-0.6;0.178220086;0.78397719;0.820908841;0.642688755;0.036931651;0.621516275;0.621516275;2.04E-05;5.69E-06;0.26977899;0.264021886
2.00E+16;1.80E+16;-0.6;0.178220086;0.780938388;0.814932626;0.63671254;0.033994238;0.638414086;0.638414086;2.03E-05;5.17E-06;0.253664088;0.250945787
2.00E+16;2.00E+16;-0.6;0.178220086;0.778220086;0.809720714;0.631500628;0.031500628;0.653315498;0.653315498;2.03E-05;4.73E-06;0.239511329;0.239511329
2.00E+16;1.00E+16;-0.3;0.178220086;0.496103283;0.65875346;0.480533373;0.162650176;0.479853638;0.479853638;1.77E-05;1.46E-05;0.336577282;0.318694085
2.00E+16;1.20E+16;-0.3;0.178220086;0.491399387;0.639968717;0.461748631;0.14856933;0.504955044;0.504955044;1.73E-05;1.28E-05;0.310262118;0.297082817
2.00E+16;1.40E+16;-0.3;0.178220086;0.4874223;0.624498987;0.446278901;0.137076687;0.526302915;0.526302915;1.70E-05;1.14E-05;0.288388026;0.279185813
2.00E+16;1.60E+16;-0.3;0.178220086;0.48397719;0.611445192;0.433225106;0.127468002;0.544820386;0.544820386;1.68E-05;1.03E-05;0.26977899;0.264021886
2.00E+16;1.80E+16;-0.3;0.178220086;0.480938388;0.600222078;0.422001992;0.11928369;0.561126345;0.561126345;1.66E-05;9.36E-06;0.253664088;0.250945787
2.00E+16;2.00E+16;-0.3;0.178220086;0.478220086;0.59042844;0.412208354;0.112208354;0.575656748;0.575656748;1.64E-05;8.62E-06;0.239511329;0.239511329
2.00E+16;1.00E+16;0.3;0.178220086;-0.103896717;0.404478281;0.226258195;0.508374998;0.367730289;0.367730289;1.22E-05;2.57E-05;0.336577282;0.318694085
2.00E+16;1.20E+16;0.3;0.178220086;-0.108600613;0.373535456;0.19531537;0.482136069;0.383155826;0.383155826;1.13E-05;2.28E-05;0.310262118;0.297082817
2.00E+16;1.40E+16;0.3;0.178220086;-0.1125777;0.347953156;0.169733069;0.460530856;0.395516523;0.395516523;1.05E-05;2.07E-05;0.288388026;0.279185813
2.00E+16;1.60E+16;0.3;0.178220086;-0.11602281;0.326337506;0.14811742;0.442360316;0.405538566;0.405538566;9.84E-06;1.89E-05;0.26977899;0.264021886
2.00E+16;1.80E+16;0.3;0.178220086;-0.119061612;0.307773569;0.129553483;0.426835181;0.413702018;0.413702018;9.21E-06;1.75E-05;0.253664088;0.250945787
2.00E+16;2.00E+16;0.3;0.178220086;-0.121779914;0.291629641;0.113409555;0.413409555;0.420339248;0.420339248;8.62E-06;1.64E-05;0.239511329;0.239511329
2.00E+16;1.00E+16;0.6;0.178220086;-0.403896717;0.321142241;0.142922155;0.725038958;0.322758545;0.322758545;9.67E-06;3.07E-05;0.336577282;0.318694085
2.00E+16;1.20E+16;0.6;0.178220086;-0.408600613;0.289181915;0.110961829;0.697782528;0.332167148;0.332167148;8.52E-06;2.75E-05;0.310262118;0.297082817
2.00E+16;1.40E+16;0.6;0.178220086;-0.4125777;0.263597537;0.085377451;0.676175237;0.338350959;0.338350959;7.48E-06;2.50E-05;0.288388026;0.279185813
2.00E+16;1.60E+16;0.6;0.178220086;-0.41602281;0.242839215;0.064619128;0.658862025;0.341933102;0.341933102;6.52E-06;2.31E-05;0.26977899;0.264021886
2.00E+16;1.80E+16;0.6;0.178220086;-0.419061612;0.225905402;0.047685316;0.644967015;0.343297953;0.343297953;5.61E-06;2.15E-05;0.253664088;0.250945787
2.00E+16;2.00E+16;0.6;0.178220086;-0.421779914;0.212123117;0.033903031;0.633903031;0.342680498;0.342680498;4.73E-06;2.03E-05;0.239511329;0.239511329
2.00E+16;1.00E+16;0.9;0.178220086;-0.703896717;0.260076739;0.081856653;0.963973456;0.283022921;0.283022921;7.33E-06;3.53E-05;0.336577282;0.318694085
2.00E+16;1.20E+16;0.9;0.178220086;-0.708600613;0.230931821;0.052711735;0.939532434;0.286167093;0.286167093;5.89E-06;3.18E-05;0.310262118;0.297082817
2.00E+16;1.40E+16;0.9;0.178220086;-0.7125777;0.209560463;0.031340377;0.922138164;0.285608499;0.285608499;4.55E-06;2.92E-05;0.288388026;0.279185813
2.00E+16;1.60E+16;0.9;0.178220086;-0.71602281;0.194377611;0.016157525;0.910400421;0.281801628;0.281801628;3.28E-06;2.71E-05;0.26977899;0.264021886
2.00E+16;1.80E+16;0.9;0.178220086;-0.719061612;0.18443898;0.006218893;0.903500592;0.274939105;0.274939105;2.06E-06;2.55E-05;0.253664088;0.250945787
2.00E+16;2.00E+16;0.9;0.178220086;-0.721779914;0.179211842;0.000991756;0.900991756;0.265021748;0.265021748;8.51E-07;2.41E-05;0.239511329;0.239511329
2.00E+16;1.00E+16;0;0.178220086;0.196103283;0.514797368;0.336577282;0.318694085;N/A;N/A;1.48E-05;2.04E-05;0.336577282;0.318694085
2.00E+16;1.20E+16;0;0.178220086;0.191399387;0.488482204;0.310262118;0.297082817;N/A;N/A;1.42E-05;1.80E-05;0.310262118;0.297082817
2.00E+16;1.40E+16;0;0.178220086;0.1874223;0.466608112;0.288388026;0.279185813;N/A;N/A;1.37E-05;1.61E-05;0.288388026;0.279185813
2.00E+16;1.60E+16;0;0.178220086;0.18397719;0.447999076;0.26977899;0.264021886;N/A;N/A;1.33E-05;1.47E-05;0.26977899;0.264021886
2.00E+16;1.80E+16;0;0.178220086;0.180938388;0.431884174;0.253664088;0.250945787;N/A;N/A;1.29E-05;1.35E-05;0.253664088;0.250945787
2.00E+16;2.00E+16;0;0.178220086;0.178220086;0.417731416;0.239511329;0.239511329;N/A;N/A;1.25E-05;1.25E-05;0.239511329;0.239511329
2e+16;1e+16;0;0.17822008619773913;0.19610328345618572;0.5147973681730267;0.3365772819752876;0.31869408471684096;N/A;N/A;1.4808711630231354e-05;2.038257673953729e-05;0.3365772819752876;0.31869408471684096
2e+16;1.2e+16;0;0.17822008619773913;0.1913993872909017;0.48848220412370946;0.31026211792597036;0.2970828168328078;N/A;N/A;1.4220020718828049e-05;1.7966632135286587e-05;0.31026211792597036;0.2970828168328078
2e+16;1.4e+16;0;0.17822008619773913;0.18742229975135843;0.4666081123614939;0.2883880261637548;0.2791858126101355;N/A;N/A;1.3711386498474028e-05;1.6126590716465673e-05;0.2883880261637548;0.2791858126101355
2e+16;1.6e+16;0;0.17822008619773913;0.18397718982164574;0.4479990760274315;0.2697789898296924;0.26402188620578576;N/A;N/A;1.3263269165275978e-05;1.4670913543405027e-05;0.2697789898296924;0.26402188620578576
2e+16;1.8e+16;0;0.17822008619773913;0.18093838750171107;0.4318841742172246;0.2536640880194855;0.2509457867155135;N/A;N/A;1.2862555658336046e-05;1.3486049268515504e-05;0.2536640880194855;0.2509457867155135
2e+16;2e+16;0;0.17822008619773913;0.17822008619773913;0.4177314155811126;0.23951132938337347;0.23951132938337347;N/A;N/A;1.25e-05;1.25e-05;0.23951132938337347;0.23951132938337347
